Siedlungs-Code,Flächen-Code,Typ,Bauart,Energiebedarf,Versorgungsart,Dichte,Erschließung (Segm.),Erschließung (Sied.),GWP,GWP ohne Strom,GWP für Bauwerk (KG 300),310 Erdaushub Keller,322 Bodenplatte,325 Bodenbelag,331 Außenwand,334 Außentüren,339 Kellerwände,334 Fenster,341 Innenwände tragend (inkl. Aufzugschacht),342 Innenwände,344 Innentüren,351 Decken,351 Treppe,361 Dach,GWP für Haustechnik (KG 400),"410 Abwasser, Trinkwasser",420 Wärmeversorgung,430 Lüftung,440 Strom,460 Aufzug,GWP für gesamte Geb.- Erschliessung (KG 500),500 Quartiersstrom,500 Quartierswasserleitung,510 Erdaushub Leitungen,510 Erdaushub Garagen,521 Gehweg Radweg,522 Straße,524 Stellplätze,524 Hochgaragen,524 Tiefgaragen,Summe Betrieb & Nutzstrom,GWP für Wärmeversorgung (B6),GWP für Nutzstrom,Nr.,Gebäudetyp,Straßenform/ Erschließungstyp,Gesamtfläche,Straßenflächen (öffentlich),Rad- und Gehwegflächen (öffentlich),Oberirdische Stellplatzflächen (öffentlich),Grundflächen Wohngebäude (brutto),Flächen Tiefgaragen (brutto) (2),Flächen Tiefgaragen (netto) (3),Quartiers-GRZ,Quartiers-GFZ,Obergeschosse,BGF (m²) inkl. oberirdische Garagen,BGF (m²) Wohnen (inkl. Keller),Nettowohnfläche NUF (m2),Nettoraumfläche NRF (m2),A/V-Verhältnis Wohngebäude,Anzahl Gebäude/ Kachel,Nettowohnfläche pro Person (8) (statistisch),Bewohner Kachel insg. (rechnerisch),WE Kachel insg. (rechnerisch),GWP / m² NRF,Tiefgarage,Verkehrsfläche gesamt m²,Person_GWP,Person_GWP (GWP ohne Strom),Person_GWP (KG 300),Person_GWP (310 Erdaushub Keller),Person_GWP (322 Bodenplatte),Person_GWP (325 Bodenbelag),Person_GWP (331 Außenwand),Person_GWP (334 Außentüren),Person_GWP (339 Kellerwände),Person_GWP (334 Fenster),Person_GWP (341 Innenwände tragend (inkl. Aufzugschacht)),Person_GWP (342 Innenwände),Person_GWP (344 Innentüren),Person_GWP (351 Decken),Person_GWP (351 Treppe),Person_GWP (361 Dach),Person_GWP (KG 400),"Person_GWP (410 Abwasser, Trinkwasser)",Person_GWP (420 Wärmeversorgung),Person_GWP (430 Lüftung),Person_GWP (440 Strom),Person_GWP (460 Aufzug),Person_GWP (KG 500),Person_GWP (500 Quartiersstrom),Person_GWP (500 Quartierswasserleitung),Person_GWP (510 Erdaushub Leitungen),Person_GWP (510 Erdaushub Garagen),Person_GWP (521 Gehweg Radweg),Person_GWP (522 Straße),Person_GWP (524 Stellplätze),Person_GWP (524 Hochgaragen),Person_GWP (524 Tiefgaragen),Person_GWP (Summe Betrieb & Nutzstrom),Person_GWP (B6),Person_GWP (GWP für Nutzstrom)
EM15LGGI,EM15LGGI,EFH,Massiv,15 kWh,LW Wärmepumpe,gering,Kreuzung,Gitter,127848,127847.58432988134,69694.9206857143,1132.5384000000001,12955.02,5462.376000000001,16262.075999999997,1008.0,4590.3,4463.494285714287,2966.4,2842.08,100.8,5337.756000000001,35.4,12538.68,8862.0,855.0,4757.37508495392,1772.6688000000001,1476.9455520000001,0.0,25140,559.6500000000001,1368.0,54.6,34.776,6647.34,8310.96,5140.800000000001,3024.0,0.0,24151,24150.548207213116,0.0,100.0,EFH,Gitter,60000.0,6984.0,5586.0,4080.0,5862.0,,,0.1127,0.16155,1.5,9693.0,11724.0,7034.400000000001,9379.2,0.7694862277788631,60.0,51.0,137.9294117647059,60.0,13.630968987747497,False,16650.0,926.91,926.91,505.29,8.21,93.92,39.6,117.9,7.31,33.28,32.36,21.51,20.61,0.73,38.7,0.26,90.91,64.25,6.2,34.49,12.85,10.71,0.0,182.27,4.06,9.92,0.4,0.25,48.19,60.26,37.27,21.92,0.0,175.1,175.09,0.0
EM15EGGI,EM15EGGI,EFH,Massiv,15 kWh,Erdgas,gering,Kreuzung,Gitter,150183,150183.3219910567,69694.9206857143,1132.5384000000001,12955.02,5462.376000000001,16262.075999999997,1008.0,4590.3,4463.494285714287,2966.4,2842.08,100.8,5337.756000000001,35.4,12538.68,12057.4,855.0,7952.7440573424,1772.6688000000001,1476.9455520000001,0.0,25140,559.6500000000001,1368.0,54.6,34.776,6647.34,8310.96,5140.800000000001,3024.0,0.0,43291,43290.916895999995,0.0,100.0,EFH,Gitter,60000.0,6984.0,5586.0,4080.0,5862.0,,,0.1127,0.16155,1.5,9693.0,11724.0,7034.400000000001,9379.2,0.7694862277788631,60.0,51.0,137.9294117647059,60.0,16.01238079911471,False,16650.0,1088.84,1088.84,505.29,8.21,93.92,39.6,117.9,7.31,33.28,32.36,21.51,20.61,0.73,38.7,0.26,90.91,87.42,6.2,57.66,12.85,10.71,0.0,182.27,4.06,9.92,0.4,0.25,48.19,60.26,37.27,21.92,0.0,313.86,313.86,0.0
EM30NGGI,EM30NGGI,EFH,Massiv,30 kWh,Nahwärme kalt,gering,Kreuzung,Gitter,188560,188560.38081230686,67581.5214857143,1132.5384000000001,11958.48,5462.376000000001,15389.476799999999,1008.0,4590.3,4463.494285714287,2966.4,2842.08,100.8,5337.756000000001,35.4,12294.42,66670.7,855.0,62566.10563305408,1772.6688000000001,1476.9455520000001,0.0,25140,559.6500000000001,1368.0,54.6,34.776,6647.34,8310.96,5140.800000000001,3024.0,0.0,29168,29168.01334153846,0.0,100.0,EFH,Gitter,60000.0,6984.0,5586.0,4080.0,5862.0,,,0.1127,0.16155,1.5,9693.0,11724.0,7034.400000000001,9379.2,0.7694862277788631,60.0,51.0,137.9294117647059,60.0,20.104100649555058,False,16650.0,1367.08,1367.08,489.97,8.21,86.7,39.6,111.58,7.31,33.28,32.36,21.51,20.61,0.73,38.7,0.26,89.14,483.37,6.2,453.61,12.85,10.71,0.0,182.27,4.06,9.92,0.4,0.25,48.19,60.26,37.27,21.92,0.0,211.47,211.47,0.0
EM30LGGI,EM30LGGI,EFH,Massiv,30 kWh,LW Wärmepumpe,gering,Kreuzung,Gitter,139098,139097.64328850945,67581.5214857143,1132.5384000000001,11958.48,5462.376000000001,15389.476799999999,1008.0,4590.3,4463.494285714287,2966.4,2842.08,100.8,5337.756000000001,35.4,12294.42,9079.2,855.0,4974.5775058771205,1772.6688000000001,1476.9455520000001,0.0,25140,559.6500000000001,1368.0,54.6,34.776,6647.34,8310.96,5140.800000000001,3024.0,0.0,37297,37296.80394491803,0.0,100.0,EFH,Gitter,60000.0,6984.0,5586.0,4080.0,5862.0,,,0.1127,0.16155,1.5,9693.0,11724.0,7034.400000000001,9379.2,0.7694862277788631,60.0,51.0,137.9294117647059,60.0,14.830437914588604,False,16650.0,1008.47,1008.47,489.97,8.21,86.7,39.6,111.58,7.31,33.28,32.36,21.51,20.61,0.73,38.7,0.26,89.14,65.82,6.2,36.07,12.85,10.71,0.0,182.27,4.06,9.92,0.4,0.25,48.19,60.26,37.27,21.92,0.0,270.41,270.41,0.0
EM30EGGI,EM30EGGI,EFH,Massiv,30 kWh,Erdgas,gering,Kreuzung,Gitter,171635,171635.1627910567,67581.5214857143,1132.5384000000001,11958.48,5462.376000000001,15389.476799999999,1008.0,4590.3,4463.494285714287,2966.4,2842.08,100.8,5337.756000000001,35.4,12294.42,12057.4,855.0,7952.7440573424,1772.6688000000001,1476.9455520000001,0.0,25140,559.6500000000001,1368.0,54.6,34.776,6647.34,8310.96,5140.800000000001,3024.0,0.0,66856,66856.156896,0.0,100.0,EFH,Gitter,60000.0,6984.0,5586.0,4080.0,5862.0,,,0.1127,0.16155,1.5,9693.0,11724.0,7034.400000000001,9379.2,0.7694862277788631,60.0,51.0,137.9294117647059,60.0,18.29955249819352,False,16650.0,1244.37,1244.37,489.97,8.21,86.7,39.6,111.58,7.31,33.28,32.36,21.51,20.61,0.73,38.7,0.26,89.14,87.42,6.2,57.66,12.85,10.71,0.0,182.27,4.06,9.92,0.4,0.25,48.19,60.26,37.27,21.92,0.0,484.71,484.71,0.0
EM70NGGI,EM70NGGI,EFH,Massiv,70 kWh,Nahwärme kalt,gering,Kreuzung,Gitter,214373,214372.88758842196,64271.9358857143,1132.5384000000001,10961.94,5462.376000000001,13564.951199999998,1008.0,4590.3,4463.494285714287,2966.4,2842.08,100.8,5337.756000000001,35.4,11805.9,68376.7,855.0,64272.07493224609,1772.6688000000001,1476.9455520000001,0.0,25140,559.6500000000001,1368.0,54.6,34.776,6647.34,8310.96,5140.800000000001,3024.0,0.0,56584,56584.136418461545,0.0,100.0,EFH,Gitter,60000.0,6984.0,5586.0,4080.0,5862.0,,,0.1127,0.16155,1.5,9693.0,11724.0,7034.400000000001,9379.2,0.7694862277788631,60.0,51.0,137.9294117647059,60.0,22.85620176437456,False,16650.0,1554.22,1554.22,465.98,8.21,79.47,39.6,98.35,7.31,33.28,32.36,21.51,20.61,0.73,38.7,0.26,85.59,495.74,6.2,465.98,12.85,10.71,0.0,182.27,4.06,9.92,0.4,0.25,48.19,60.26,37.27,21.92,0.0,410.24,410.24,0.0
EM70LGGI,EM70LGGI,EFH,Massiv,70 kWh,LW Wärmepumpe,gering,Kreuzung,Gitter,171900,171899.58072634367,64271.9358857143,1132.5384000000001,10961.94,5462.376000000001,13564.951199999998,1008.0,4590.3,4463.494285714287,2966.4,2842.08,100.8,5337.756000000001,35.4,11805.9,10134.0,855.0,6029.41857649824,1772.6688000000001,1476.9455520000001,0.0,25140,559.6500000000001,1368.0,54.6,34.776,6647.34,8310.96,5140.800000000001,3024.0,0.0,72353,72353.48591213115,0.0,100.0,EFH,Gitter,60000.0,6984.0,5586.0,4080.0,5862.0,,,0.1127,0.16155,1.5,9693.0,11724.0,7034.400000000001,9379.2,0.7694862277788631,60.0,51.0,137.9294117647059,60.0,18.32774444796397,False,16650.0,1246.29,1246.29,465.98,8.21,79.47,39.6,98.35,7.31,33.28,32.36,21.51,20.61,0.73,38.7,0.26,85.59,73.47,6.2,43.71,12.85,10.71,0.0,182.27,4.06,9.92,0.4,0.25,48.19,60.26,37.27,21.92,0.0,524.57,524.57,0.0
EM70EGGI,EM70EGGI,EFH,Massiv,70 kWh,Erdgas,gering,Kreuzung,Gitter,231166,231166.2171910567,64271.9358857143,1132.5384000000001,10961.94,5462.376000000001,13564.951199999998,1008.0,4590.3,4463.494285714287,2966.4,2842.08,100.8,5337.756000000001,35.4,11805.9,12057.4,855.0,7952.7440573424,1772.6688000000001,1476.9455520000001,0.0,25140,559.6500000000001,1368.0,54.6,34.776,6647.34,8310.96,5140.800000000001,3024.0,0.0,129697,129696.79689600001,0.0,100.0,EFH,Gitter,60000.0,6984.0,5586.0,4080.0,5862.0,,,0.1127,0.16155,1.5,9693.0,11724.0,7034.400000000001,9379.2,0.7694862277788631,60.0,51.0,137.9294117647059,60.0,24.6466881174361,False,16650.0,1675.97,1675.97,465.98,8.21,79.47,39.6,98.35,7.31,33.28,32.36,21.51,20.61,0.73,38.7,0.26,85.59,87.42,6.2,57.66,12.85,10.71,0.0,182.27,4.06,9.92,0.4,0.25,48.19,60.26,37.27,21.92,0.0,940.31,940.31,0.0
DH15NGGI,DH15NGGI,DH,Holz,15 kWh,Nahwärme kalt,gering,Kreuzung,Gitter,183600,183599.51496197403,63985.94022857144,1321.4880000000003,15116.4,6427.4400000000005,6220.6488,907.2,3963.96,5208.17142857143,2260.8,3011.7599999999998,90.72,5753.5199999999995,21.24,13682.592000000002,71776.4,1026.0,66956.2339087872,2068.4159999999997,1725.77664,0.0,25799,602.7,1368.0,58.800000000000004,41.73120000000001,6647.34,8310.96,5140.800000000001,3628.7999999999997,0.0,22038,22038.016984615384,0.0,200.0,DH,Gitter,60000.0,6984.0,5586.0,4080.0,6840.0,,,0.132,0.189,1.5,11340.0,13680.0,8208.0,10944.0,0.6285176470588236,36.0,47.0,174.63829787234042,72.0,16.77627146947862,False,16650.0,1051.32,1051.31,366.39,7.57,86.56,36.8,35.62,5.19,22.7,29.82,12.95,17.25,0.52,32.95,0.12,78.35,411.0,5.88,383.4,11.84,9.88,0.0,147.73,3.45,7.83,0.34,0.24,38.06,47.59,29.44,20.78,0.0,126.19,126.19,0.0
DH15LGGI,DH15LGGI,DH,Holz,15 kWh,LW Wärmepumpe,gering,Kreuzung,Gitter,127232,127232.12509486306,63985.94022857144,1321.4880000000003,15116.4,6427.4400000000005,6220.6488,907.2,3963.96,5208.17142857143,2260.8,3011.7599999999998,90.72,5753.5199999999995,21.24,13682.592000000002,9267.3,1026.0,4447.1016033408,2068.4159999999997,1725.77664,0.0,25799,602.7,1368.0,58.800000000000004,41.73120000000001,6647.34,8310.96,5140.800000000001,3628.7999999999997,0.0,28180,28179.759422950825,0.0,200.0,DH,Gitter,60000.0,6984.0,5586.0,4080.0,6840.0,,,0.132,0.189,1.5,11340.0,13680.0,8208.0,10944.0,0.6285176470588236,36.0,47.0,174.63829787234042,72.0,11.625742424603715,False,16650.0,728.55,728.55,366.39,7.57,86.56,36.8,35.62,5.19,22.7,29.82,12.95,17.25,0.52,32.95,0.12,78.35,53.07,5.88,25.46,11.84,9.88,0.0,147.73,3.45,7.83,0.34,0.24,38.06,47.59,29.44,20.78,0.0,161.36,161.36,0.0
